User IP	Timestamp	Latitude	Longitude	Store Category	Store Name	Safety Observations	Useful Information	Place Id	City	Locality	Address	Country	Opening Time	Closing Time	flag	deleted
45.44.57.177	2020-04-03T23:39:26.283Z	49.0413471	-122.3192566	Grocery	32659 Lonsdale Crescent		Hand sanitizer	ChIJHd7Ey1c1hFQR97TF238IsVI	Abbotsford	South Clearbrook	32659 Lonsdale Crescent, Abbotsford, BC V2T 1C5, Canada	CA				
207.6.202.6	2020-04-05T23:46:08.473Z	49.0540213	-122.3175724	Grocery	Real Canadian Superstore		Hand sanitizer ,lysol wipes,toilet paper	ChIJTyD560I1hFQR3geKelIu_qU	Abbotsford	Clearbrook	2855 Gladwin Rd, Abbotsford, BC V2T 4V6, Canada	CA				
209.52.88.57	2020-04-06T01:50:54.494Z	49.0220506	-122.2669949	Grocery	Costco Wholesale		Toilet paper	ChIJF-CIvOhKhFQRyJZtbSSctD4	Abbotsford	Highway 11	1127 Sumas Way, Abbotsford, BC V2S 8H2, Canada	CA				
117.99.100.107	2020-04-05T01:12:46.498Z	23.0424852	72.5143736	Grocery	Radhey Super Store	Queques To maintain Safety distance - circles made	10am to 12 noon Generally stocks availabke	ChIJD9GOd06bXjkRAmWyMO0o4uk	Ahmedabad		S.G. Road, NH 8C, opp. Gurudwara, Bodakdev, Ahmedabad, Gujarat 380054, India	IN	10:00	12:00		
103.132.24.50	2020-04-06T12:10:02.465Z	23.0714539	72.5170667	Grocery	Amul Outlet		Dairy Products	ChIJSfFfr7OcXjkR7qNEcxsnDYM	Ahmedabad	Science City	Science City Rd, beside Shivala village garden Restaurant, Science City, Panchamrut Bunglows II, Sola, Ahmedabad, Gujarat 380060, India	IN				
136.55.46.214	2020-04-04T17:59:23.872Z	33.7794269	-84.3675836	Grocery	Trader Joe's	An orderly queue formed with spacing and stretched around the corner. They were limiting the number of shoppers coming in (one out/one in sorta deal). Everyone was super helpful.	Update as of 4/4. New hours are 9am-7pm. They have hand sanitizer at the customer service desk, limit 1 per shopper.	ChIJ1zoUGxYE9YgRL399jlxWp6Q	Atlanta	Midtown Atlanta	931 Monroe Dr NE, Atlanta, GA 30308, USA	US				
157.49.198.39	2020-04-07T10:36:15.623Z	13.0001284	77.5506044	Grocery	Gautham Electronics		electronics	ChIJ_____4w9rjsRom1pingdMAs	banglore	1st Block	#168-K,, 19th main road, 1st block,rajajinagar banglore-560010, 1st Block, Rajajinagar, banglore, Karnataka 560010, India	IN				
157.45.62.31	2020-04-02T18:02:06.162Z	15.87701776	74.53458179	Other	HIREMATH GENERAL STORES	Low crowd level	Timings - 7am to 10.30pm	ChIJZQSRnTJhvzsR5waWIwzINE4	Belgaum	Sector 9	7261, Sector 9, MalMaruti Extention Area, Mahantesh Nagar, Belgaum, Karnataka 590016, India	IN				
103.102.145.154	2020-04-04T06:52:34.794Z	15.827784	74.489503	Pharmacy	Apollo Pharmacy	Medium queues, employees wearing masks, proper social distancing not maintained	No masks/sanitizers	ChIJp7EAttJlvzsRnTc1p21n2Cc	Belgaum	2nd Stage	Plot No, 234, Angol - Vadgaon Rd, 2nd Stage, Rani Chennamma Nagar, Belgaum, Karnataka 590006, India	IN				
106.216.184.96	2020-04-06T10:26:34.359Z	15.89144061	74.54834068	Grocery	Mallikarjun Store	Distance maintained of 1 meter from each other.	Vegetables , milks , breads , eggs & mobile recharge available.	ChIJi3oU8NhgvzsR7OPnTh-of1E	Belgaum		1097, Ramteerth Nagar, Lakshmipuri Layout, Auto Nagar, Belgaum, Karnataka 590015, India	India	9:00	21:00		
223.189.114.39	2020-04-07T16:12:06.324Z	15.88049954	74.52235108	Pharmacy	Apollo Pharmacy	1 Meter distance from each other maintained Carry your own bags 	No entry inside the store  Stock available	ChIJd9lvHUphvzsRsFZyGFK4Kzg	Belgaum		Shiv Basav Nagar Bus Stop, Shivabasava Nagar, Nehru Nagar, Belgaum, Karnataka 590010, India	India	10:00	21:30		
124.123.82.31	2020-04-06T11:14:40.316Z	12.962912	77.60313	Grocery	Royalmart Supermarket		10-10	ChIJB8MqEtQVrjsRJ933J9QUmfU	Bengalore		Madni Emrara,#18/1,Alexander Street, Richmond Town, Bengalore, Karnataka 560025, India	IN				
	2020-03-29T06:50:27.209Z	12.922632	77.695363	Grocery	Grand City Supermarket	Queues are being maintained, only 2-3 people allowed at a time, have hand sanitizers available on request before / after entering store	Stock availability was quite high - they had everything you would need	ChIJ2f57ZAETrjsRWSmMjQKo804	Bengaluru	Doddakannelli	114/1, Green Elegance Apartment, Opposite Adarsh Palm Villas, Kaadubeesanahalli Rd, Devarabisanahalli, Doddakannelli, Bengaluru, Karnataka 560103, India	IN				
	2020-03-29T07:23:29.130Z	12.922632	77.695363	Grocery	Grand City Supermarket	Decent safety	Good availability	ChIJ2f57ZAETrjsRWSmMjQKo804	Bengaluru	Doddakannelli	114/1, Green Elegance Apartment, Opposite Adarsh Palm Villas, Kaadubeesanahalli Rd, Devarabisanahalli, Doddakannelli, Bengaluru, Karnataka 560103, India	IN				
	2020-03-29T07:52:51.086Z	12.911438	77.638012	Grocery	Organic Mandya	Allows 3-5 shoppers at a time	Vegetables, eggs, and fruits - good availability. Limited availability of organic groceries	ChIJr3a4CpEUrjsRRKkOu12LTKo	Bengaluru	HSR Layout	249, 14th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India	IN				
	2020-03-29T07:54:58.825Z	12.9120648	77.6486756	Grocery	M K Ahmed Mart	Masks compulsory to enter. Sanitizer available.	Good availability of all - fruits, vegetables, groceries, and kitchen appliances.	ChIJXVkfvZwUrjsR0oEH1GhdMwc	Bengaluru	HSR Layout	701, 17th Cross Road, Vanganahalli, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India	IN				
	2020-03-29T08:26:25.491Z	12.999552	77.6230461	Grocery	Village Super Market	Queues	Pretty much fully stocked except for chicken and milk	ChIJwSCK4u4WrjsRsbYqE1dZzrg	Bengaluru	Cooke Town	No.100, Wheeler Rd Ext, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560005, India	IN				
	2020-03-29T08:49:26.791Z	12.972531	77.698219	Grocery	White Mart	Super Market. Should wear a mask medium crowded	Stock is very much available in terms of Milk and dairy products Vegetables are not available	ChIJAURu4n8RrjsRztVXsbg-bN4	Bengaluru	Doddanekkundi	Site No. 8, Shop No. 2, 60 Feet Road, Marathahalli, 560037, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037, India	IN				
	2020-03-29T12:48:14.121Z	12.915799	77.698534	Grocery	A2N Vegetables	No queues, very few people, open market	Open at 6.15pm on Sunday, Sells only fruits and vegetables - seemed adequate stocks	Ek41LCBHZWFyIFJkLCBBZGFyc2ggUGFsbSBSZXRyZWF0LCBCZWxsYW5kdXIsIEJlbmdhbHVydSwgS2FybmF0YWthIDU2MDEwMywgSW5kaWEiGhIYChQKEglZOQutAhOuOxFOjKE1bDH9LxAF	Bengaluru	Bellandur	5, Gear Rd, Adarsh Palm Retreat, Bellandur, Bengaluru, Karnataka 560103, India	IN				
	2020-03-29T12:51:39.570Z	12.9158777	77.6989237	Pharmacy	Ramdev Medical	No crowd when visited	Open till 7pm atleast	ChIJL2B7nI8TrjsROEOuFG39qvE	Bengaluru	Doddakannelli	near, Gear Rd, near AET Junction, Doddakannelli, Bengaluru, Karnataka 560035, India	IN				
	2020-03-29T12:54:58.466Z	12.923422	77.695296	Grocery	Nature's Basket	Seems closed	Have visited twice in the last 3 days and closed both times at around 6pm	ChIJRY5pbQETrjsRgbSzepnW-so	Bengaluru	Doddakannelli	Prestige Trinity Center, Near New Horizon Engineering College Behind Adarsh ​​Palm Retreat, Kadabeesanahalli Road, Gear Rd, Devarabisanahalli, Doddakannelli, Bengaluru, Karnataka 560103, India	IN				
	2020-03-29T12:55:57.821Z	12.922632	77.695363	Other	Grand City Supermarket	Seems closed	Closed at 6.30pm on Sunday. Was open at around the same time a couple a days back	ChIJ2f57ZAETrjsRWSmMjQKo804	Bengaluru	Doddakannelli	114/1, Green Elegance Apartment, Opposite Adarsh Palm Villas, Kaadubeesanahalli Rd, Devarabisanahalli, Doddakannelli, Bengaluru, Karnataka 560103, India	IN				
	2020-03-29T13:12:23.068Z	12.9519018	77.6989609	Grocery	More Megastore	Queues being maintained, masks are compulsory to enter, making sure people maintain distance, but fair amount of crowd	Open at 6.45pm on Sunday	ChIJ00Os0soTrjsRjup7LTF3J8c	Bengaluru	Marathahalli	Number, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India	IN				
	2020-03-29T13:20:55.268Z	12.9563933	77.6959565	ATM	Citibank ATM	No queues	Cash available, open at 7pm on Sunday	ChIJu7ePZ8wTrjsReQ8c6s1cnYM	Bengaluru	Chowdeshwari Layout	HAL Old Airport Rd, Chowdeshwari Layout, Marathahalli Village, Marathahalli, Bengaluru, Karnataka 560037, India	IN				
	2020-03-29T16:27:08.611Z	12.9171739	77.5595501	Other	E. K. Supermarket	Queue level was average on a weekend afternoon (Saturday). Helping staff though helpful to pick items did not have a lot of safety gear on	Open only from 10am-2pm and from 6pm-9.30pm everyday. Stocks are gonna be am issue, high velocity stuff like rice floor and toor dal was already out of stock	ChIJA3W4q9U_rjsRANPkeZi7ZX8	Bengaluru	Padmanabhanagar	Uttarahalli Main Rd, Kadarenahalli, Padmanabhanagar, Bengaluru, Karnataka 560070, India	IN				
	2020-03-29T22:45:36.667Z	12.987206	77.594772	Grocery	Organic World	less crowded	ALL ORGANIC PRODUCTS UNDER ONE ROOF, DIFFERENT TYPES OF PULSES, READY TO COOK FOOD, GREEN TEA ETC	ChIJabs09WgWrjsRYh-PH6qXxMk	Bengaluru	Vasanth Nagar	Door no.17, Flat no.203, 2nd Floor, Shah Sultan Complex, Cunningham Rd, Opp. Canara Bank, Vasanth Nagar, Bengaluru, Karnataka 560052, India	IN				
	2020-03-29T22:47:57.475Z	12.985518	77.597816	Grocery	S.A. Store	less crowded	SMALL KIRANA STORE  +918022286756	ChIJqeI-a2YWrjsR_1_RT2p_EB0	Bengaluru	Shivaji Nagar	33, Chikka Bazar Rd, Swamy Shivanandapuram, Shivaji Nagar, Bengaluru, Karnataka 560051, India	IN				
	2020-03-29T22:50:59.191Z	13.004719	77.578676	Pharmacy	Janhvi Medicals	less crowded, equipped with sanitizers for immediate use.	Good Store for Pharmaceutical needs with basic supply of chocolates, biscuits etc OPEN FROM 6AM TO 11PM	ChIJ-69BVDEWrjsR4W_oWd5tPZw	Bengaluru	Malleshwaram	74, 1st Main Pl Orchard Rd, Vyalikaval, Lower Palace Orchards, Malleshwaram, Bengaluru, Karnataka 560003, India	IN				
125.99.246.139	2020-03-30T11:55:19.327Z	12.89574532	77.62122322	Grocery	D Mart	Need mask to enter. Groceries available. Have to wait for a while in a queue to enter	Open from 7am-9pm	ChIJhRtPZMMUrjsRHVMamh5kiI0	Bengaluru	SR Naidu Layout	3, Kodichikkanahalli Main Rd, SR Naidu Layout, Hongasandra, Bengaluru, Karnataka 560068, India	IN				
106.51.241.161	2020-03-31T08:24:05.097Z	12.94168397	77.55590928	Grocery	YEMKAY SUPERMARKET	No queues, orders to be sent via Whatsapp. Later to be picked up from the storefront.		ChIJ61f1HyI-rjsRTJvKM8ubH88	Bengaluru	2nd Block	176, 15th Main Rd, 2nd Block, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka 560050, India	IN				
122.182.193.50	2020-03-31T12:25:04.246Z	12.922632	77.695363	Restaurant	Grand City Supermarket	Seems closed	Store open from 10 am to 5pm. Contact number 74062 50726	ChIJ2f57ZAETrjsRWSmMjQKo804	Bengaluru	Doddakannelli	114/1, Green Elegance Apartment, Opposite Adarsh Palm Villas, Kaadubeesanahalli Rd, Devarabisanahalli, Doddakannelli, Bengaluru, Karnataka 560103, India	IN				
	2020-03-31T13:20:47.911Z	12.97011014	77.65065937	Grocery	HOPCOMS	Queues with spots marked for safe distancing. Fruits and vegetables, eggs, biscuits etc available. Open from 10AM - 9PM		ChIJAQRnKgAUrjsROoGHORIl4Bo	Bengaluru	Hal	577, 6th Cross Rd, Hal, HAL 3rd Stage, Stage 3, New Tippasandra, Bengaluru, Karnataka 560075, India	IN				
183.82.183.171	2020-03-31T13:52:55.403Z	12.999552	77.6230461	Grocery	Village Super Market	Queues	Pretty much fully stocked except for chicken and milk	ChIJwSCK4u4WrjsRsbYqE1dZzrg	Bengaluru	Cooke Town	No.100, Wheeler Rd Ext, Balaji Layout, Cooke Town, Bengaluru, Karnataka 560005, India	IN				
124.40.246.37	2020-03-31T14:14:10.476Z	12.915799	77.698534	Grocery	5	No queues, very few people, open market	Open at 6.15pm on Sunday, Sells only fruits and vegetables - seemed adequate stocks	ChIJuQFWrAITrjsRo1iFdUInOxs	Bengaluru	Bhoganhalli	5, Doddakannelli - Kaadubeesanahalli Rd, Adarsh Palm Retreat, Bhoganhalli, Bengaluru, Karnataka 560035, India	IN				
122.178.224.140	2020-03-31T15:51:09.849Z	12.96112703	77.60155253	Grocery	Food World	Masks needed, Sanitise your hands when u enter, good queuing	Stocks basic groceries	ChIJM6dQV9EVrjsR6PFJa25do5c	Bengaluru	Richmond Town	9, Rhenius St, Richmond Town, Bengaluru, Karnataka 560025, India	IN				
122.178.224.140	2020-03-31T15:52:37.087Z	12.96258713	77.60167757	Grocery	Nature's Basket	Masks needed, Good queueing	Has almost 100% stock and gets restocked almost daily  Open between 10-4	ChIJ-d73ptYVrjsRZwHq47-Z2V4	Bengaluru	Richmond Town	12/1 Rhenius St, Richmond Town, Bangalore, Alexandria St, Richmond Town, Bengaluru, Karnataka 560025, India	IN				
157.49.204.212	2020-04-01T04:44:18.653Z	12.9395202	77.5853937	Grocery	Namdhari's Fresh		Please wear mask. You are not allowed to come in without mask 	ChIJ4X0EMj0VrjsRqrshd7wn4P8	Bengaluru	Jayanagar	No. 18/1, Ground Floor, Pasadena Building, 10th main, Ashoka Pillar Rd, 1st Block, Jayanagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011, India	IN				
1.23.230.23	2020-04-01T06:54:34.616Z	12.9378907	77.69942195	Grocery	Star Bazaar	Scarcely crowded	Token system 	ChIJmTjgrFISrjsRyWsCqaGPNJs	Bengaluru	New Kaverappa Layout	84/2, Panathur Main Rd, New Kaverappa Layout, Kadubeesanahalli, Panathur, Bengaluru, Karnataka 560103, India	IN				
122.167.116.17	2020-04-01T07:14:15.822Z	12.9378907	77.69942195	Grocery	Star Bazaar	Masks needed. They're giving out 'waitlist' chits at the gate.	Only some veges, rice and few home essentials	ChIJmTjgrFISrjsRyWsCqaGPNJs	Bengaluru	New Kaverappa Layout	84/2, Panathur Main Rd, New Kaverappa Layout, Kadubeesanahalli, Panathur, Bengaluru, Karnataka 560103, India	IN				
106.51.30.95	2020-04-01T07:20:17.193Z	12.96258713	77.60167757	Grocery	Nature's Basket		No swiggy deliveries being allowed, at least early in the morning at 8 am or so	ChIJ-d73ptYVrjsRZwHq47-Z2V4	Bengaluru	Richmond Town	12/1 Rhenius St, Richmond Town, Bangalore, Alexandria St, Richmond Town, Bengaluru, Karnataka 560025, India	IN				
106.51.22.237	2020-04-01T08:16:52.788Z	12.90441095	77.64598888	Grocery	Bangalore Fruits & Vegetables	Staff using masks, no safety precautions required for customers as such, sells only fruits, vegetables, milk, some spices etc	Opens at 8am	ChIJlfssHpkUrjsRZPiOO8um1E4	Bengaluru	HSR Layout	20, 1st cross Rd, Garden Layout, Sector 2, HSR Layout, Bengaluru, Karnataka 560102, India	IN				
223.186.66.140	2020-04-01T09:07:54.681Z	12.91887481	77.57775538	Grocery	New Galaxy supermarket	Queue of 2-3 people. Only services customers wearing a mask. Entering the supermarket is not allowed now - you call out the items you need and he gets it for you	9am-8pm. Had better stock availability than comparable supermarkets - butter, eggs, bread	ChIJb7UXYHYVrjsR0lxLbNmHzk8	Bengaluru	8th Block	354, 2nd Main Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560070, India	IN				
223.186.66.140	2020-04-01T09:11:59.222Z	12.9184899	77.57776975	Grocery	Bharath Stores	Quite crowded. While most people wore a mask, it was not mandatory. Due to the crowd, people were within touching distance of each other. 	Had 80% of required essentials - tea, atta, biscuits. Did not have eggs and butter. 	ChIJvYQBYHYVrjsRxWYCVRrxl5g	Bengaluru	8th Block	428, 43rd Cross Rd, 8th Block, Jayanagar, Bengaluru, Karnataka 560082, India	IN				
124.123.80.196	2020-04-01T10:10:03.268Z	12.9476619	77.5979527	Grocery	HYPER BUDGET SUPERMARKET	Not crowded. Requires mask for entry.	Well stocked with basics - rice, atta, dals, home cleaning and cosmetic items. Running low on branded snacks, tea, coffee. 	ChIJZRtB0CIVrjsRnlD2sTmO8G8	Bengaluru	Wilson Garden	48,8th Main, Indira Towers, 11th Cross Rd, Chinnayanpalya, Wilson Garden, Bengaluru, Karnataka 560027, India	IN				
124.123.105.157	2020-04-01T11:06:00.474Z	12.9959383	77.6154197	Pharmacy	Sagar Pharma		Was closed on April 1 morning.	ChIJwTKh3PMWrjsRSGAs1U46LYs	Bengaluru	Pulikeshi Nagar	#45, 1, Stephens Rd, Cleveland Town, Pulikeshi Nagar, Bengaluru, Karnataka 560005, India	IN				
124.123.82.25	2020-04-01T11:27:30.128Z	12.9527313	77.5772147	Grocery	Sri Vasanth Coffee Works	Coffee works		ChIJ____z-4VrjsRLdp0l0lEu0o	Bengaluru	Shankarapura	39, Sajjan Rao Rd, Parvathipuram, Vishweshwarapura, Shankarapura, Bengaluru, Karnataka 560004, India	IN				
157.49.96.249	2020-04-01T12:35:52.755Z	12.98687295	77.59487239	Grocery	The Organic World	Low crowd level	You can check stock on website and place order	ChIJabs09WgWrjsRYh-PH6qXxMk	Bengaluru	Vasanth Nagar	Door no.17, Flat no.203, 2nd Floor, Shah Sultan Complex, Cunningham Rd, Opp. Canara Bank, Vasanth Nagar, Bengaluru, Karnataka 560052, India	IN				
122.171.161.147	2020-04-01T13:45:02.198Z	12.978583	77.618517	Grocery	New Bazaar	Masks are worn by people who work there. But there is no restriction of how many people are allowed into the stores.	Open from 9am - 5pm only Fresh vegetables and well stocked bread unit There are supplies of some rice and pulses Biscuits available Well stocked personal care and homecare section	ChIJuYcARoUWrjsRlk0hQrLJAoA	Bengaluru	Halasuru	126/1, Lake Villa, Gangadhara Chetty Road, Opposite-Ideal Service Station, Ulsoor, Yellappa Chetty Layout, Halasuru, Bengaluru, Karnataka 560042, India	IN				
157.49.40.31	2020-04-01T14:34:17.897Z	12.91472705	77.65164565	Grocery	Multiplex	Masks mandatory to enter. Only 3-4 at a time allowed enter, rest to stand on line seperated by boxes	Best time would be to go by afternoon, as it is little empty. Almost all major things available. Vegetables fruits and rest major groceries including milk and packed foods.	ChIJFxhYwoIUrjsRdBDNRphcsg4	Bengaluru	HSR Layout	2624, 27th Main Rd, near Police Station, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102, India	IN				
43.224.158.170	2020-04-01T15:52:59.071Z	12.89961304	77.64972402	Grocery	Shop On	Wear a mask and gloves. Store is maintaining hygiene by asking people to stay away from each other. Sanitize products after you get them home.	Stock is good. Vegetables come in daily. Supermarket is nicely stocked for pulses, rice, atta, noodles, bread, milk, dosa batter, etc.	ChIJObbFpKEUrjsRMYuJFVqkVB8	Bengaluru	Sector 2	10, Somasundarapalya Main Rd, Sector 2, ITI Layout, Hosapalaya, HSR Layout, Bengaluru, Karnataka 560102, India	IN				
117.192.109.108	2020-04-01T16:09:46.956Z	13.0176107	77.53416821	Grocery	Ambika provision store	Long queues due to limited opening hours	To be updated	ChIJ58Q2Mgw9rjsR2oCHhk4dwUk	Bengaluru	Nandini Layout	259, 2nd Main Rd, Railway Men's Colony, Kanteerava Nagar, Nandini Layout, Bengaluru, Karnataka 560096, India	IN				
183.82.182.49	2020-04-01T16:25:43.736Z	12.95490708	77.65877203	Grocery	Thriveni	Not super safe	Water cans available	ChIJs6cfyfYTrjsR3GjjvVOlKI0	Bengaluru	Murgesh Pallya	35, 7th Main, Vinayak Nagar, Vinayaka Nagar, Murgesh Pallya, Bengaluru, Karnataka 560017, India	IN				
49.207.48.147	2020-04-01T18:52:03.922Z	12.96352419	77.6437352	Grocery	Top in town	Social distancing observed, limited people allowed in at a go	All essentials groceries and household items except veggies and long life milk. They have bisleri water cans (20l)	ChIJjfw4mQQUrjsRJb-qhHchHMo	Bengaluru	Kodihalli	2620, 2nd Cross Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008, India	IN				
